id,order_no,customer_name,total_amount,status,order_date
1,"20231113004","a渔具ctx520hl",574,"completed","2001-11-12"
2,"20231209001","丛塘陈老板",1600,"completed","2001-12-08"
3,"20231209002","丛塘陈老板",1161,"completed","2001-12-08"
4,"20231226001","丛塘陈老板",619.1,"completed","2001-12-25"
5,"20231113001","任启文",902,"completed","2001-11-12"
6,"20231113006","任启文",2112,"completed","2001-11-12"
7,"20231113007","任天文",1048,"completed","2001-11-12"
8,"20231115002","吴平辉",1189,"completed","2001-11-14"
9,"20231110004","廖杰",2377,"completed","2001-11-09"
10,"20231116001","廖杰",303.5,"completed","2001-11-15"
11,"20231117001","廖杰",370,"completed","2001-11-16"
12,"20231118002","廖洁",280,"completed","2001-11-17"
13,"20231124002","廖洁",179,"completed","2001-11-23"
14,"20231127001","廖洁",1289.5,"completed","2001-11-26"
15,"20231128001","廖洁",855,"completed","2001-11-27"
16,"20231203001","廖洁",803.5,"completed","2001-12-02"
17,"20231206001","廖洁",2549,"completed","2001-12-05"
18,"20231207001","廖洁",1220,"completed","2001-12-06"
19,"20231210001","廖洁",600,"completed","2001-12-09"
20,"20231213002","廖洁",203,"completed","2001-12-12"
21,"20231226002","廖洁",340,"completed","2001-12-25"
22,"20231230003","廖洁",587,"completed","2001-12-29"
23,"20231231002","廖洁",362,"completed","2001-12-30"
24,"20231118001","易老板",780,"completed","2001-11-17"
25,"20231113002","有约渔具店",120,"completed","2001-11-12"
26,"20231113005","有约渔具店",546,"completed","2001-11-12"
27,"20231128002","水口徐老板",420,"completed","2001-11-27"
28,"20231124001","渔你有约渔具店",720,"completed","2001-11-23"
29,"20231128003","渔你有约渔具店",507,"completed","2001-11-27"
30,"20231213003","渔你有约渔具店",594,"completed","2001-12-12"
31,"20231231001","渔你有约渔具店",367.6,"completed","2001-12-30"
32,"20231111001","潘老板",349,"completed","2001-11-10"
33,"20231113003","红平",900,"completed","2001-11-12"
34,"20231213001","红平",564,"completed","2001-12-12"
35,"20231230002","赵老板",675,"completed","2001-12-29"
36,"20231230001","钟老板",869,"completed","2001-12-29"
37,"20240325006","a渔具ctx520hl",204.5,"completed","2001-03-24"
38,"20241120002","万老板",1130,"completed","2001-11-19"
39,"20240115001","丛塘陈老板",1086.5,"completed","2001-01-14"
40,"20240202002","丛塘陈老板",209,"completed","2001-02-01"
41,"20240216002","丛塘陈老板",478.9,"completed","2001-02-15"
42,"20240224001","丛塘陈老板",1375.9,"completed","2001-02-23"
43,"20240311004","丛塘陈老板",299.8,"completed","2001-03-10"
44,"20240322005","丛塘陈老板",999,"completed","2001-03-21"
45,"20240322006","丛塘陈老板",444.2,"completed","2001-03-21"
46,"20240323002","丛塘陈老板",135,"completed","2001-03-22"
47,"20240324004","丛塘陈老板",135,"completed","2001-03-23"
48,"20240401002","丛塘陈老板",847,"completed","2001-03-31"
49,"20240401004","丛塘陈老板",881.5,"completed","2001-03-31"
50,"20240403007","丛塘陈老板",170.6,"completed","2001-04-02"
51,"20240409003","丛塘陈老板",353,"completed","2001-04-08"
52,"20240412001","丛塘陈老板",650.5,"completed","2001-04-11"
53,"20240414006","丛塘陈老板",455.5,"completed","2001-04-13"
54,"20240418003","丛塘陈老板",948.7,"completed","2001-04-17"
55,"20240418007","丛塘陈老板",59,"completed","2001-04-17"
56,"20240421001","丛塘陈老板",394,"completed","2001-04-20"
57,"20240422004","丛塘陈老板",517.5,"completed","2001-04-21"
58,"20240423002","丛塘陈老板",311,"completed","2001-04-22"
59,"20240425002","丛塘陈老板",1472,"completed","2001-04-24"
60,"20240430001","丛塘陈老板",613,"completed","2001-04-29"
61,"20240430007","丛塘陈老板",417.6,"completed","2001-04-29"
62,"20240502003","丛塘陈老板",819.6,"completed","2001-05-01"
63,"20240503002","丛塘陈老板",218.5,"completed","2001-05-02"
64,"20240505008","丛塘陈老板",608,"completed","2001-05-04"
65,"20240510005","丛塘陈老板",682,"completed","2001-05-09"
66,"20240515002","丛塘陈老板",263.9,"completed","2001-05-14"
67,"20240518001","丛塘陈老板",632,"completed","2001-05-17"
68,"20240518005","丛塘陈老板",928.5,"completed","2001-05-17"
69,"20240520007","丛塘陈老板",227,"completed","2001-05-19"
70,"20240528006","丛塘陈老板",899,"completed","2001-05-27"
71,"20240531001","丛塘陈老板",1146.5,"completed","2001-05-30"
72,"20240602002","丛塘陈老板",502.3,"completed","2001-06-01"
73,"20240603001","丛塘陈老板",388.5,"completed","2001-06-02"
74,"20240606001","丛塘陈老板",820.7,"completed","2001-06-05"
75,"20240608002","丛塘陈老板",1025,"completed","2001-06-07"
76,"20240609007","丛塘陈老板",326,"completed","2001-06-08"
77,"20240611001","丛塘陈老板",569.9,"completed","2001-06-10"
78,"20240614002","丛塘陈老板",319,"completed","2001-06-13"
79,"20240621002","丛塘陈老板",1020.6,"completed","2001-06-20"
80,"20240624004","丛塘陈老板",377.1,"completed","2001-06-23"
81,"20240701001","丛塘陈老板",666.5,"completed","2001-06-30"
82,"20240710005","丛塘陈老板",1221.5,"completed","2001-07-09"
83,"20240716002","丛塘陈老板",747.4000000000001,"completed","2001-07-15"
84,"20240722001","丛塘陈老板",829.5,"completed","2001-07-21"
85,"20240724005","丛塘陈老板",492.5,"completed","2001-07-23"
86,"20240727006","丛塘陈老板",792,"completed","2001-07-26"
87,"20240727008","丛塘陈老板",488.2,"completed","2001-07-26"
88,"20240730001","丛塘陈老板",516.5,"completed","2001-07-29"
89,"20240802013","丛塘陈老板",829.1999999999999,"completed","2001-08-01"
90,"20240806002","丛塘陈老板",242.7,"completed","2001-08-05"
91,"20240808004","丛塘陈老板",452.8,"completed","2001-08-07"
92,"20240811012","丛塘陈老板",715,"completed","2001-08-10"
93,"20240814001","丛塘陈老板",777.5,"completed","2001-08-13"
94,"20240825006","丛塘陈老板",797.6,"completed","2001-08-24"
95,"20240830002","丛塘陈老板",873.2,"completed","2001-08-29"
96,"20240903006","丛塘陈老板",768.8,"completed","2001-09-02"
97,"20240907010","丛塘陈老板",556.5999999999999,"completed","2001-09-06"
98,"20240911005","丛塘陈老板",913.1,"completed","2001-09-10"
99,"20240915001","丛塘陈老板",985.5,"completed","2001-09-14"
100,"20240915015","丛塘陈老板",821.2,"completed","2001-09-14"
101,"20240917008","丛塘陈老板",601.5,"completed","2001-09-16"
102,"20240922001","丛塘陈老板",748.1,"completed","2001-09-21"
103,"20240927001","丛塘陈老板",308.2,"completed","2001-09-26"
104,"20240930009","丛塘陈老板",853,"completed","2001-09-29"
105,"20240930010","丛塘陈老板",805.3,"completed","2001-09-29"
106,"20241005001","丛塘陈老板",586.5,"completed","2001-10-04"
107,"20241009001","丛塘陈老板",272.8,"completed","2001-10-08"
108,"20241015001","丛塘陈老板",250,"completed","2001-10-14"
109,"20241018002","丛塘陈老板",509.5,"completed","2001-10-17"
110,"20241024001","丛塘陈老板",504.09999999999997,"completed","2001-10-23"
111,"20241028004","丛塘陈老板",709.3,"completed","2001-10-27"
112,"20241101001","丛塘陈老板",426.5,"completed","2001-10-31"
113,"20241103004","丛塘陈老板",323.2,"completed","2001-11-02"
114,"20241108001","丛塘陈老板",877.9,"completed","2001-11-07"
115,"20241111001","丛塘陈老板",670.6,"completed","2001-11-10"
116,"20241111002","丛塘陈老板",329.4,"completed","2001-11-10"
117,"20241120001","丛塘陈老板",563.7,"completed","2001-11-19"
118,"20241125001","丛塘陈老板",1425,"completed","2001-11-24"
119,"20241201004","丛塘陈老板",524.3,"completed","2001-11-30"
120,"20241216003","丛塘陈老板",490.19999999999993,"completed","2001-12-15"
121,"20241224002","丛塘陈老板",270.20000000000005,"completed","2001-12-23"
122,"20240217001","两杯茶",85,"completed","2001-02-16"
123,"20240515006","两杯茶",370,"completed","2001-05-14"
124,"20241212002","两杯茶",118.5,"completed","2001-12-11"
125,"20241220001","两杯茶",106.5,"completed","2001-12-19"
126,"20241226001","两杯茶",202.5,"completed","2001-12-25"
127,"20241227004","两杯茶",135,"completed","2001-12-26"
128,"20240331005","中心超市",504,"completed","2001-03-30"
129,"20240408002","中心超市",165,"completed","2001-04-07"
130,"20240506005","中心超市",459,"completed","2001-05-05"
131,"20240620002","中心超市",526.5,"completed","2001-06-19"
132,"20240802008","中心超市",940.5,"completed","2001-08-01"
133,"20240811013","中心超市",150,"completed","2001-08-10"
134,"20240826010","中心超市",1275.25,"completed","2001-08-25"
135,"20240909007","中心超市",192.5,"completed","2001-09-08"
136,"20240917010","中心超市",907,"completed","2001-09-16"
137,"20240922005","中心超市",88,"completed","2001-09-21"
138,"20240925006","中心超市",795.5,"completed","2001-09-24"
139,"20240930006","中心超市",200,"completed","2001-09-29"
140,"20241003004","中心超市",367,"completed","2001-10-02"
141,"20241007004","中心超市",115,"completed","2001-10-06"
142,"20241020005","中心超市",272,"completed","2001-10-19"
143,"20241109003","中心超市",438.5,"completed","2001-11-08"
144,"20241113001","中心超市",338,"completed","2001-11-12"
145,"20241206001","中心超市",433,"completed","2001-12-05"
146,"20240306003","任启文",839,"completed","2001-03-05"
147,"20240314003","任启文",1297.5,"completed","2001-03-13"
148,"20240322001","任启文",1142,"completed","2001-03-21"
149,"20240324005","任启文",167,"completed","2001-03-23"
150,"20240331003","任启文",228,"completed","2001-03-30"
151,"20240407002","任启文",310,"completed","2001-04-06"
152,"20240410005","任启文",3592.5,"completed","2001-04-09"
153,"20240419001","任启文",985,"completed","2001-04-18"
154,"20240422012","任启文",228,"completed","2001-04-21"
155,"20240501010","任启文",787,"completed","2001-04-30"
156,"20240519005","任启文",1185,"completed","2001-05-18"
157,"20240528002","任启文",548,"completed","2001-05-27"
158,"20240607004","任启文",1141,"completed","2001-06-06"
159,"20240623005","任启文",798,"completed","2001-06-22"
160,"20240625002","任启文",305,"completed","2001-06-24"
161,"20240629009","任启文",1437,"completed","2001-06-28"
162,"20240711003","任启文",896,"completed","2001-07-10"
163,"20240717004","任启文",527.5,"completed","2001-07-16"
164,"20240726007","任启文",671.8,"completed","2001-07-25"
165,"20240802012","任启文",448,"completed","2001-08-01"
166,"20240809008","任启文",943.5,"completed","2001-08-08"
167,"20240814010","任启文",913,"completed","2001-08-13"
168,"20240828009","任启文",1306,"completed","2001-08-27"
169,"20240901002","任启文",529,"completed","2001-08-31"
170,"20240909004","任启文",900,"completed","2001-09-08"
171,"20240914008","任启文",743,"completed","2001-09-13"
172,"20240927007","任启文",2633.5,"completed","2001-09-26"
173,"20241003002","任启文",537,"completed","2001-10-02"
174,"20241018006","任启文",1563.5,"completed","2001-10-17"
175,"20241023002","任启文",614.8,"completed","2001-10-22"
176,"20241028001","任启文",500,"completed","2001-10-27"
177,"20241102003","任启文",140,"completed","2001-11-01"
178,"20241208003","任启文",341.6,"completed","2001-12-07"
179,"20240226003","任天文",223,"completed","2001-02-25"
180,"20240303001","任天文",701.8,"completed","2001-03-02"
181,"20240309009","任天文",1650.4,"completed","2001-03-08"
182,"20240313002","任天文",428.4,"completed","2001-03-12"
183,"20240314002","任天文",1400.5,"completed","2001-03-13"
184,"20240315003","任天文",836.5,"completed","2001-03-14"
185,"20240325001","任天文",1389,"completed","2001-03-24"
186,"20240327007","任天文",865,"completed","2001-03-26"
187,"20240402010","任天文",1463,"completed","2001-04-01"
188,"20240408003","任天文",1116,"completed","2001-04-07"
189,"20240414017","任天文",2880.8,"completed","2001-04-13"
190,"20240421002","任天文",337,"completed","2001-04-20"
191,"20240422002","任天文",485,"completed","2001-04-21"
192,"20240427004","任天文",410,"completed","2001-04-26"
193,"20240501005","任天文",225,"completed","2001-04-30"
194,"20240502009","任天文",2318.6,"completed","2001-05-01"
195,"20240509005","任天文",1775,"completed","2001-05-08"
196,"20240517009","任天文",1292,"completed","2001-05-16"
197,"20240521002","任天文",744.9,"completed","2001-05-20"
198,"20240527001","任天文",1576,"completed","2001-05-26"
199,"20240531009","任天文",1540.5,"completed","2001-05-30"
200,"20240603009","任天文",1123,"completed","2001-06-02"
201,"20240605001","任天文",855,"completed","2001-06-04"
202,"20240609009","任天文",755,"completed","2001-06-08"
203,"20240614001","任天文",608,"completed","2001-06-13"
204,"20240620006","任天文",359.2,"completed","2001-06-19"
205,"20240623004","任天文",1477,"completed","2001-06-22"
206,"20240629001","任天文",1020,"completed","2001-06-28"
207,"20240702006","任天文",1088.5,"completed","2001-07-01"
208,"20240712003","任天文",768.6,"completed","2001-07-11"
209,"20240719003","任天文",1098,"completed","2001-07-18"
210,"20240720007","任天文",515.5,"completed","2001-07-19"
211,"20240726003","任天文",699.5,"completed","2001-07-25"
212,"20240731005","任天文",2045,"completed","2001-07-30"
213,"20240802010","任天文",1125.6,"completed","2001-08-01"
214,"20240808003","任天文",742.5,"completed","2001-08-07"
215,"20240809010","任天文",1726,"completed","2001-08-08"
216,"20240811011","任天文",1384,"completed","2001-08-10"
217,"20240814003","任天文",1119.9,"completed","2001-08-13"
218,"20240823005","任天文",885,"completed","2001-08-22"
219,"20240829004","任天文",494.6,"completed","2001-08-28"
220,"20240831007","任天文",764,"completed","2001-08-30"
221,"20240907011","任天文",741,"completed","2001-09-06"
222,"20240912003","任天文",295,"completed","2001-09-11"
223,"20240913005","任天文",268,"completed","2001-09-12"
224,"20240914011","任天文",2138.5,"completed","2001-09-13"
225,"20240919001","任天文",1449,"completed","2001-09-18"
226,"20240926004","任天文",1518.2,"completed","2001-09-25"
227,"20241003009","任天文",598,"completed","2001-10-02"
228,"20241010003","任天文",125,"completed","2001-10-09"
229,"20241109006","任天文",805,"completed","2001-11-08"
230,"20241130001","任天文",408,"completed","2001-11-29"
231,"20241225003","任天文",191,"completed","2001-12-24"
232,"20240717001","伍市日杂",330,"completed","2001-07-16"
233,"20240130001","何勇",1585.9,"completed","2001-01-29"
234,"20240310004","何勇",966,"completed","2001-03-09"
235,"20240316004","何勇",662,"completed","2001-03-15"
236,"20240321001","何勇",285,"completed","2001-03-20"
237,"20240408004","何勇",403.8,"completed","2001-04-07"
238,"20240421004","何勇",2125,"completed","2001-04-20"
239,"20240429001","何勇",707,"completed","2001-04-28"
240,"20240519004","何勇",1537,"completed","2001-05-18"
241,"20240527002","何勇",550,"completed","2001-05-26"
242,"20240604006","何勇",939.8,"completed","2001-06-03"
243,"20240615002","何勇",820.8,"completed","2001-06-14"
244,"20240622001","何勇",435,"completed","2001-06-21"
245,"20240710006","何勇",1003,"completed","2001-07-09"
246,"20240720004","何勇",726,"completed","2001-07-19"
247,"20240803002","何勇",643,"completed","2001-08-02"
248,"20240811009","何勇",1136,"completed","2001-08-10"
249,"20240829009","何勇",550,"completed","2001-08-28"
250,"20240911006","何勇",1691,"completed","2001-09-10"
251,"20240930007","何勇",541,"completed","2001-09-29"
252,"20241024007","何勇",719,"completed","2001-10-23"
253,"20241106001","何勇",178,"completed","2001-11-05"
254,"20241126004","何勇",206.5,"completed","2001-11-25"
255,"20240329006","刘勇国",832,"completed","2001-03-28"
256,"20240402007","刘勇国",469,"completed","2001-04-01"
257,"20240420006","刘勇国",935,"completed","2001-04-19"
258,"20240427005","刘勇国",1355,"completed","2001-04-26"
259,"20240516002","刘勇国",381,"completed","2001-05-15"
260,"20240521004","刘勇国",810,"completed","2001-05-20"
261,"20240524003","刘勇国",890,"completed","2001-05-23"
262,"20240529001","刘勇国",565,"completed","2001-05-28"
263,"20240604004","刘勇国",425,"completed","2001-06-03"
264,"20240607001","刘勇国",965,"completed","2001-06-06"
265,"20240723003","刘勇国",299.5,"completed","2001-07-22"
266,"20240727001","刘勇国",305.5,"completed","2001-07-26"
267,"20240810004","刘勇国",630,"completed","2001-08-09"
268,"20240811005","刘勇国",738,"completed","2001-08-10"
269,"20240828004","刘勇国",1117,"completed","2001-08-27"
270,"20240831005","刘勇国",585,"completed","2001-08-30"
271,"20240914002","刘勇国",1037,"completed","2001-09-13"
272,"20240918006","刘勇国",875,"completed","2001-09-17"
273,"20240927006","刘勇国",982.5,"completed","2001-09-26"
274,"20241001001","刘勇国",712.5,"completed","2001-09-30"
275,"20241002009","刘勇国",383,"completed","2001-10-01"
276,"20241014001","刘勇国",1205,"completed","2001-10-13"
277,"20241019002","刘勇国",505,"completed","2001-10-18"
278,"20241022001","刘勇国",550,"completed","2001-10-21"
